Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups,Task Division
Irrigation Areas,An Irrigation Area is an area within South Australia that is administered under the Irrigation Act for irrigation purposes.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/7067a5e1-f6f2-4489-9d27-5ae78da9b4a6,2016-03-23T04:58:21.844084,2016-07-29T00:12:26.887473,william.watt@sa.gov.au,Updated down to unit area,1995/2/1,2000/2/1,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure",Irrigation,"Business, industry and trade",Selina
Counties,"The County layer is a derived data set from the Hundred layer, using the County field within the Hundred layer data to merge the Hundred polygons into the relevant County polygons.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/64f11c0b-d9e9-4223-a259-4597a3b310a9,2016-03-23T22:52:43.363023,2016-07-29T00:12:16.624054,william.watt@sa.gov.au,Updated down to unit area,1995/2/1,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Counties, Hundreds","Housing, land, planning and infrastructure",Selina
Road Crash Data,Details of reported road crashes and casualties for the last three calendar years,dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/21386a53-56a1-4edf-bd0b-61ed15f10acf,2016-04-26T23:21:20.762589,2016-06-17T04:23:07.355844,DPTI.RoadCrashData@sa.gov.au,Updated down to unit area,2012/1/1,2015/12/31,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","casualties, casualty, crash, road, road crashes",Emergency and safety,Selina
Boat Registrations,New and currently registered recreational vessels for 2007 - 2015,dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/dataset/866fb3ab-0254-4dc6-8e78-30542eb02a58,2015-04-22T06:24:16.932405,2016-01-28T05:12:23.865934,DPTI.GISOffice@sa.gov.au,,2007/1/1,2015/7/16,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Boat, Recreation, Registrations","Government reporting and policy, Sports and Recreation",Selina
Boat Licence Statistics,Boat Licence issued and licences that are still current 1975 - 2014,dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/dataset/6ba848d1-5453-4984-9ded-7fa8e50c6050,2015-04-23T04:11:18.014456,2016-01-28T05:12:01.212339,DPTI.GISOffice@sa.gov.au,,1975-2014,1975-2014,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Boat Licences, Licence, Motor Boats, Recreational, Vessels","Community information and citizen services, Sports and Recreation",Selina
Household Energy Efficiency,"Results from the 2011 South Australian household survey on the use of energy appliances and products in the home, including shower heads, water heaters, lighting and stand-by power controllers. ",dataset,,Creative Commons Attribution,active,Linked,asRequired,/dataset/f0083f33-ae56-490b-a44e-5f2ed6aa5945,2013-05-21T04:11:37.392912,2017-07-18T02:03:31.736459,DataSA@sa.gov.au,N/A,N/A,N/A,South Australia,Government of South Australia,data.sa.gov.au,Department of State Development,"Housing SA, efficiency, energy, household, planning, savings","Water, energy, resources, environment and science",Selina
Traineeships and Apprenticeships,"The datasets contain South Australian Training Contract commencement, completion and in-training data. All three types of data can be downloaded as separate zip files. Please download the zip file under each dataset to gain access to all of the data.",dataset,English,Creative Commons Attribution,active,Hosted,quarterly,/dataset/878e08bb-732a-49dd-bf66-bfce88cccefd,2013-05-27T03:47:09.074462,2017-07-07T02:39:46.077299,dsd.tas@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Department of State Development,"Apprentice, Apprenticeship, Business, Commencement, Completion, Contract, Education, Trainee, Traineeship, Training, business, skills","Education, skills and learning, Finance and employment",Selina
ForwardIT Digital Literacy Resources Content,"The ForwardIT website was decommissioned 31 January 2017. 
Content that was developed by the Department of State Development is still available upon request.
Contact the Infoline on 1800 506 266 or email WorkReady@sa.gov.au for more information.
The information and resources will enable users to increase their digital literacy skills, confidence and knowledge to allow them to take advantage of technology to enhance their daily personal, work, leisure and family lives",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/9be6ec4b-ab47-4f3f-9eb4-533e9db7d5b2,2013-05-22T06:02:36.551008,2017-06-19T06:58:05.705447,DataSA@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Department of State Development,"Skills, Training, community, digital literacy, education, internet, technology","Education, skills and learning",Selina
South Australian Labour Force,"This dataset is based on a sample survey of approximately 2,000 South Australian households. The two main series types are Trend and Seasonally Adjusted.",dataset,,Creative Commons Attribution,active,Linked,asRequired,/dataset/66660415-07ba-413b-bffd-027b4859b920,2013-05-21T02:43:03.753848,2016-10-25T04:50:16.217307,DataSA@sa.gov.au,N/A,N/A,N/A,South Australia,Government of South Australia,data.sa.gov.au,Department of State Development,"Employment, Jobs, Labour Force, Skills, Unemployment Rate",Finance and employment,Selina
Regional Labour Force Data,"This dataset contains Regional Labour Force data, and is based on a sample survey of approximately 2,000 South Australian households. Additional labour force data can be found on the ABS website. Please refer to metadata document for more information.",dataset,,Creative Commons Attribution,active,Linked,asRequired,/dataset/6fb16f34-7ce5-47ef-8369-22a4899ff9c0,2013-05-21T06:54:41.162271,2016-07-07T09:43:45.860288,DataSA@sa.gov.au,N/A,N/A,N/A,South Australia,Government of South Australia,data.sa.gov.au,Department of State Development,"Jobs, Labour Force, Regional Employment, Unemployment Rate",Finance and employment,Selina
"SARIG Map Layers - Geothermal Competitive Tenders, Highly Prospective Regions","Location of all current Highly Prospective Regions issued under the Petroleum Act, 2000 for the regulated resource of geothermal.

Available format: ESRI Shape, MAPINFO Tab, Google Earth KMZ and WMS/WFS.

Instructions: From SARIG Map Layer, click on 'Geothermal Tenements', 'Geothermal Competitive Tenders', 'Highly Prospective Regions (Geothermal)'.

To download dataset, instructions are available at: http://www.minerals.dmitre.sa.gov.au/sarighelp/map_layers#L5


",dataset,,Creative Commons Attribution,active,Linked,Daily,/dataset/3a6206db-9ca3-4071-b719-041fb8d83741,2014-06-27T02:43:58.936531,2016-06-09T03:24:46.674008,DataSA@sa.gov.au,N/A,N/A,N/A,South Australia,Government of South Australia,data.sa.gov.au,Department of State Development,"geothermal, prospective regions, regulated resource","Water, energy, resources, environment and science",Selina
"SARIG Map Layers - Petroleum Pipelines & Facilities Tenements, Application, Liquids Pipeline Licence","Location of all current Pipeline Licence Applications issued under the Petroleum and Geothermal Energy Act 2000 (the P&GE Act supersedes the Petroleum Act 2000), Petroleum (Submerged Lands) Act, 1982, or Petroleum (Submerged Lands) Act, 1967 for the purpose of conveying petroleum or another regulated substance from place to place which includes tanks, machinery and equipment necessary for, or associated with, its operation; and a part of a pipeline. Pipeline Licences provide exclusive tenure rights to operate the pipeline for which it relates, for 21 years (or a lesser term agreed between the pipeline licensee and the Minister).

Available format: ESRI Shape, MAPINFO Tab, Google Earth KMZ and WMS/WFS.

Instructions: From SARIG Map Layer, click on 'Petroleum Tenements', 'Petroleum Pipelines and Facilities Tenements', 'Application, Liquids Pipeline Licence (Petroleum)'.

To download dataset, instructions are available at: http://www.minerals.dmitre.sa.gov.au/sarighelp/map_layers#L5
",dataset,,Creative Commons Attribution,active,Linked,Daily,/dataset/1a6455df-e2e3-41a6-a913-59ab78efb28a,2014-06-30T06:29:10.692577,2016-06-09T03:24:41.695420,DataSA@sa.gov.au,N/A,N/A,N/A,South Australia,Government of South Australia,data.sa.gov.au,Department of State Development,"liquids, petroleum, pipeline, resources","Water, energy, resources, environment and science",Selina
"SARIG Map Layers - Petroleum Pipelines & Facilities Tenements, Licences, Liquids Pipeline","Location of all current Pipeline Licences issued under the Petroleum and Geothermal Energy Act 2000 (the P&GE Act supersedes the Petroleum Act 2000), Petroleum (Submerged Lands) Act, 1982, and Petroleum (Submerged Lands) Act, 1967 for the purpose of conveying petroleum or another regulated substance from place to place which includes tanks, machinery and equipment necessary for, or associated with, its operation; and a part of a pipeline. Pipeline Licences provide exclusive tenure rights to operate the pipeline for which it relates, for 21 years (or a lesser term agreed between the pipeline licensee and the Minister).

Available format: ESRI Shape, MAPINFO Tab, Google Earth KMZ and WMS/WFS.

Instructions: From SARIG Map Layer, click on 'Petroleum Tenements', 'Petroleum Pipelines and Facilities Tenements', 'Licences, Liquids Pipeline (Petroleum)'.

To download dataset, instructions are available at: http://www.minerals.dmitre.sa.gov.au/sarighelp/map_layers#L5


",dataset,,Creative Commons Attribution,active,Linked,Daily,/dataset/bee847fb-5e51-4d7d-a7aa-508a10cee996,2014-06-30T07:27:03.551532,2016-06-09T03:24:03.285403,DataSA@sa.gov.au,N/A,N/A,N/A,South Australia,Government of South Australia,data.sa.gov.au,Department of State Development,"petroleum, pipeline licences, regulated, resources","Water, energy, resources, environment and science",Selina
"SARIG Map Layers - Petroleum  Production Tenements, Declaration of Location Petroleum","Location of all current Declaration of Locations issued under the Petroleum and Geothermal Energy Act 2000 (the P&GE Act supersedes the Petroleum Act 2000), Petroleum (Submerged Lands) Act, 1982, and Petroleum (Submerged Lands) Act, 1967. A Declaration of Location occurs where a permittee has made a nomination under the appropriate act; and the Joint Authority is of the opinion that the permittee is entitled under that section to nominate the block or blocks specified in the nomination; the Joint Authority shall, by notice published in the Gazette, declare the block or blocks to which the nomination relates to be a location.

Available format: ESRI Shape, MAPINFO Tab, Google Earth KMZ and WMS/WFS.

Instructions: From SARIG Map Layer, click on 'Petroleum Tenements', 'Petroleum Production Tenements', 'Declaration of Location Petroleum (offshore, petroleum)'. 

To download dataset, instructions are available at: http://www.minerals.dmitre.sa.gov.au/sarighelp/map_layers#L5

",dataset,,Creative Commons Attribution,active,Linked,Daily,/dataset/2a672fc9-9178-4079-9f91-bd51adb27e09,2014-06-27T08:18:35.403179,2016-06-09T03:23:46.696903,DataSA@sa.gov.au,N/A,N/A,N/A,South Australia,Government of South Australia,data.sa.gov.au,Department of State Development,"location, permittee, petroleum","Water, energy, resources, environment and science",Selina
